's 're
bounces bounce
bounds bound
bouns boun
bourgeons bourgeon
bouses bouse
bowdlerises bowdlerise
bowdlerizes bowdlerize
bowers bower
bowks bowk
bowls bowl
bownes bowne
bows bow
bowses bowse
bowstrings bowstring
boxes box
boycotts boycott
braais braai
brabbles brabble
braces brace
brachiates brachiate
brackets bracket
brads brad
braggles braggle
brags brag
braids braid
brailles braille
brails brail
brainfucks brainfuck
brains brain
brainstorms brainstorm
brainwashes brainwash
brainwipes brainwipe
braises braise
braizes braize
brakes brake
brambles bramble
branches branch
brandies brandy
brandishes brandish
brandles brandle
brandmarks brandmark
brands brand
brandwashes brandwash
brangles brangle
branks brank
brattices brattice
brattles brattle
braves brave
bravoes bravo
brawls brawl
brawns brawn
brays bray
brazens brazen
brazes braze
breaches breach
breadboards breadboard
breadcrumbs breadcrumb
breads bread
breadthens breadthen
breakdances breakdance
breakfasts breakfast
breaks-off break-off
breaks break
breams bream
breast-feeds breast-feed
breastfeeds breastfeed
breasts breast
breaststrokes breaststroke
breathalyses breathalyse
breathalyzes breathalyze
breathes breathe
breeches breech
breeds breed
breezes breeze
brevets brevet
brews brew
bribes bribe
brickfilms brickfilm
bricks brick
bridesmaids bridesmaid
bridges bridge
bridles bridle
briefs brief
brigades brigade
brightens brighten
brigues brigue
brilliantines brilliantine
brims brim
brines brine
brings bring
briskens brisken
brisks brisk
bristles bristle
brivets brivet
broaches broach
broadcasts broadcast
broadens broaden
broadsides broadside
brobs brob
brocades brocade
brocks brock
broddles broddle
brogs brog
brogues brogue
broiders broider
broils broil
brokers broker
bromates bromate
brominates brominate
bromizes bromize
bronzes bronze
brooches brooch
broods brood
brooks brook
brooms broom
brow-beats brow-beat
browbeats browbeat
brown-bags brown-bag
brown-noses brown-nose
brownnoses brownnose
browns brown
brows brow
browses browse
browzes browze
bruises bruise
bruits bruit
brumates brumate
brunches brunch
brushes brush
brustles brustle
brutalises brutalise
brutalizes brutalize
brutes brute
brutifies brutify
bruxes brux
bubbles bubble
bubs bub
buccaneers buccaneer
buccans buccan
bucketizes bucketize
buckets bucket
bucklers buckler
buckles buckle
buckrams buckram
bucks buck
buddies buddy
buddles buddle
budges budge
budgets budget
buds bud
buffaloes buffalo
buffers buffer
buffets buffet
buffoons buffoon
buffs buff
bugbears bugbear
buggers bugger
bugles bulge
bugs bug
builds build
bulbectomizes bulbectomize
bulbs bulb
bulges bulge
bulks bulk
bull-whips bull-whip
bulldogs bulldog
bulldozers bulldozer
bulldozes bulldoze
bulletinizes bulletinize
bulletins bulletin
bulletizes bulletize
bulletproofs bulletproof
bullies bully
bullocks bullock
bulls bull
bullshits bullshit
bullwhips bullwhip
bullyproofs bullyproof
bullyrags bullyrag
bulwarks bulwark
bum-rushes bum-rush
bumbles bumble
bumfucks bumfuck
bumfuzzles bumfuzzle
bumps bump
bumrushs bumrush
bums bum
bunches bunch
buncos bunco
bundles bundle
bunds bund
bungles bungle
bungs bung
bunkers bunker
bunks bunk
bunny-hops bunny-hop
bunts bunt
buoys buoy
burbles burble
burdens burden
bureaucratizes bureaucratize
burgeons burgeon
burglarises burglarise
burglarizes burglarize
burgles burgle
buries bury
burkes burke
burlesques burlesque
burls burl
burnettizes burnettize
burnishes burnish
burns burn
burps burp
burrows burrow
burrs burr
burs bur
bursts burst
burthens burthen
buses bus
bushels bushel
bushes bush
bushhammers bushhammer
bushwacks bushwack
bushwalks bushwalk
bushwhacks bushwhack
busies busy
busks busk
busses buss
busticates busticate
bustles bustle
busts bust
butchers butcher
butt-rapes butt-rape
buttchecks buttcheck
butterflies butterfly
butters butter
buttfucks buttfuck
buttles buttle
buttonholes buttonhole
buttons button
buttresses buttress
butts butt
buttwelds buttweld
butylates butylate
buycotts buycott
buys buy
buzz-bombs buzz-bomb
buzzes buzz
bycatches bycatch
byhearts byheart
bylines byline
bynames byname
bypasses bypass
cabalizes cabalize
cabals cabal
cabbages cabbage
cabins cabin
cables cable
cabs cab
caches cache
cachinnates cachinnate
cackles cackle
cacks cack
cacumates cacumate
caddies caddy
cadences cadence
cades cade
cadges cadge
caffeinates caffeinate
cages cage
cahoots cahoot
cajoles cajole
cakes cake
cakewalks cakewalk
calcifies calcify
calcimines calcimine
calcinates calcinate
calcines calcine
calcitrates calcitrate
calculates calculate
calendarizes calendarize
calendars calendar
calenders calender
calibrates calibrate
calks calk
calligraphs calligraph
callouses callous
calls call
calluses callus
calms calm
calques calque
calumnates calumnate
calumniates calumniate
calvers calver
calves calve
calvinises calvinise
calvinizes calvinize
cambers camber
camcords camcord
cameltoes cameltoe
camerates camerate
camos camo
camouflages camouflage
campaigns campaign
campervans campervan
camphorates camphorate
camples cample
camps camp
campuses campus
camrips camrip
cams cam
canadianizes canadianize
canalises canalise
canalizes canalize
canals canal
cancans cancan
cancels cancel
candies candy
candles candle
candy-coats candy-coat
canes cane
cankers canker
cannibalises cannibalise
cannibalizes cannibalize
cannonades cannonade
cannonballs cannonball
cannons cannon
cannulates cannulate
canoes canoe
canonicalises canonicalise
canonicalizes canonicalize
canonises canonise
canonizes canonize
canoodles canoodle
canopies canopy
cans can
canters canter
cantilevers cantilever
cantillates cantillate
cantles cantle
cantonizes cantonize
cantons canton
cants cant
canvases canvas
canvasses canvas
capacitates capacitate
caparisons caparison
capers caper
capitalises capitalise
capitalizes capitalize
capitates capitate
capitulates capitulate
caponizes caponize
capons capon
capots capot
caprioles capriole
caps cap
capsizes capsize
capsules capsule
capsulizes capsulize
captains captain
captions caption
captivates captivate
captures capture
car-jacks car-jack
carabines carabine
caracoles caracole
caracols caracol
caramelises caramelise
caramelizes caramelize
caravans caravan
carboards carboard
carbolizes carbolize
carbon-dates carbon-date
carbonados carbonado
carbonates carbonate
carbonatises carbonatise
carbonatizes carbonatize
carbonifies carbonify
carbonises carbonise
carbonitrides carbonitride
carbonizes carbonize
carbonylates carbonylate
carboxylates carboxylate
carburets carburet
carburises carburise
carburizes carburize
carcerates carcerate
carcoons carcoon
cardioverts cardiovert
cards card
careens careen
careers career
cares care
caresses caress
caretakes caretake
caricatures caricature
carillones carillon
carjacks carjack
carks cark
carmelizes carmelize
carnalizes carnalize
carnies carny
carnifies carnify
carols carol
caroms carom
carouses carouse
carpenteres carpenter
carpet-bombs carpet-bomb
carpetbags carpetbag
carpets carpet
carpools carpool
carps carp
carries carry
carshares carshare
cartelizes cartelize
cartoons cartoon
cartops cartop
carts cart
cartwheels cartwheel
carves carve
cascades cascade
caseates caseate
casefies casefy
casehardens caseharden
cases case
casevacs casevac
cashes cash
cashiers cashier
caskets casket
casks cask
castellates castellate
castigates castigate
castles castle
castrates castrate
casts cast
casualises casualise
casualizes casualize
catabolizes catabolize
catalanizes catalanize
catalogizes catalogize
catalogs catalog
catalogues catalogue
catalyses catalyse
catalyzes catalyze
catapults catapult
catastrophizes catastrophize
catcalls catcall
catches catch
catechises catechise
catechizes catechize
categises categise
categizes categize
categorifies categorify
categorises categorise
categorizes categorize
catenates catenate
catermauls catermaul
caters cater
caterwauls caterwaul
catfishes catfish
catheterises catheterise
catheterizes catheterize
catholicises catholicise
catholicizes catholicize
caths cath
catnaps catnap
catproofs catproof
cats cat
catsits catsit
catstitches catstitch
caucuses caucus
caudles caudle
caulks caulk
causes cause
cauterises cauterise
cauterizes cauterize
cautions caution
cavalcades cavalcade
caverns cavern
caves-in cave-in
caves cave
cavils cavil
cavitates cavitate
cavorts cavort
caws caw
cc's cc
ceases cease
cedes cede
ceils ceil
celebrates celebrate
celestializes celestialize
cellars cellar
cells cell
cellularizes cellularize
celticizes celticize
cements cement
censes cense
censors censor
censours censour
censures censure
censuses census
centerpunches centerpunch
centers center
centralises centralise
centralizes centralize
centres centre
centrifuges centrifuge
centuples centuple
centuplicates centuplicate
cerebralises cerebralise
cerebralizes cerebralize
cerebrates cerebrate
ceres cere
certificates certificate
certifies certify
cesses cess
cha-chas cha-cha
chacks chack
chafes chafe
chaffers chaffer
chaffs chaff
chagrins chagrin
chain-smokes chain-smoke
chains chain
chainsaws chainsaw
chairmans chairman
chairs chair
chalks chalk
challenges challenge
chambers chamber
chameleonizes chameleonize
chamfers chamfer
champions champion
champs champ
chances chance
changes change
chanks chank
channel-surfs channel-surf
channelises channelise
channelizes channelize
channels channel
chants chant
chaperones chaperone
chaperons chaperon
chaps chap
chaptalizes chaptalize
chapters chapter
characterises characterise
characterizes characterize
characters character
charbroils charbroil
charcoals charcoal
chares chare
charges charge
chargrills chargrill
charioteers charioteer
chariots chariot
charks chark
charlestons charleston
charlieplexes charlieplex
charms charm
chars char
charters charter
charts chart
chases chase
chasses chasse
chassés chassé
chastens chasten
chastises chastise
chastizes chastize
chasts chast
chates chate
chats chat
chatters chatter
chauffeurs chauffeur
chaulks chaulk
chavels chavel
chaws chaw
cheapens cheapen
cheats cheat
check-calls check-call
check-folds check-fold
check-raises check-raise
checkerboards checkerboard
checkers checker
checkmates checkmate
checkpoints checkpoint
checks check
checksums checksum
cheddars cheddar
cheeks cheek
cheeps cheep
cheerleads cheerlead
cheers cheer
cheesepares cheesepare
cheeses cheese
chelates chelate
chemicalizes chemicalize
chemisorbs chemisorb
chemosorbs chemosorb
chequerboards chequerboard
chequers chequer
cherishes cherish
cherry-picks cherry-pick
cherry-pops cherry-pop
cherrypicks cherrypick
chests chest
chevies chevy
chews chew
chiacks chiack
chibs chib
chicanes chicane
chickens chicken
chicks chick
chides chide
childminds childmind
childproofs childproof
chillaxes chillax
chills chill
chimes chime
chimneys chimney
chimps chimp
chines chine
chings ching
chinks chink
chins chin
chinses chinse
chinwags chinwag
chipmunks chipmunk
chippers chipper
chips chip
chirks chirk
chirms chirm
chirps chirp
chirpses chirpse
chirres chirre
chirrs chirr
chirrups chirrup
chisels chisel
chit-chats chit-chat
chitchats chitchat
chits chit
chitters chitter
chivies chivy
chivs chiv
chivvies chivvy
chloridates chloridate
chlorinates chlorinate
chlorinises chlorinise
chlorinizes chlorinize
chloroforms chloroform
chocks chock
choirs choir
chokes choke
chomps chomp
chondrifies chondrify
choogles choogle
chooses choose
chops chop
chords chord
choreographs choreograph
chores chore
chors chor
chortles chortle
choruses chorus
chouses chouse
chows chow
christens christen
christianises christianise
christianizes christianize
chromakeys chromakey
chromatographs chromatograph
chromes chrome
chromises chromise
chromium-plates chromium-plate
chromizes chromize
chronicles chronicle
chronologises chronologise
chronologizes chronologize
chroots chroot
chuckles chuckle
chucks chuck
chuds chud
chuffles chuffle
chuffs chuff
chugalugs chugalug
chugs chug
chumbles chumble
chums chum
chunders chunder
chunks chunk
chunters chunter
churches church
churnalises churnalise
churnalizes churnalize
churns churn
churrs churr
chutes chute
chutters chutter
chylifies chylify
chymifies chymify
cicatrises cicatrise
cicatrizes cicatrize
cinches cinch
cinchonizes cinchonize
cinctures cincture
cinders cinder
cinefilms cinefilm
cinematises cinematise
cinematizes cinematize
ciphers cipher
circle-strafes circle-strafe
circles circle
circuits circuit
circularises circularise
circularizes circularize
circulates circulate
circumagitates circumagitate
circumambulates circumambulate
circumcises circumcise
circumduces circumduce
circumducts circumduct
circumferences circumference
circumfixes circumfix
circumflexes circumflex
circumfuses circumfuse
circumgyrates circumgyrate
circummures circummure
circumnavigates circumnavigate
circumpasses circumpass
circumscribes circumscribe
circumstantiates circumstantiate
circumvallates circumvallate
circumvents circumvent
circumvolves circumvolve
ciswashes ciswash
cites cite
citifies citify
citrates citrate
civilianizes civilianize
civilises civilise
civilizes civilize
clabbers clabber
clacks clack
clads clad
clags clag
claiks claik
claims claim
clairts clairt
clambakes clambake
clambers clamber
clamors clamor
clamours clamour
clamps clamp
clams clam
clangors clangor
clangours clangour
clangs clang
clanks clank
clapboards clapboard
clappers clapper
